Document, Word, Count
0, 5338, 2
0, 5094, 1
0, 1679, 2
0, 7310, 1
0, 5104, 2
0, 3577, 1
0, 5203, 3
0, 2494, 3
0, 2837, 1
0, 2296, 2
0, 5537, 1
0, 1435, 2
0, 2497, 1
0, 7085, 1
0, 2980, 1
0, 1438, 1
0, 6345, 1
0, 5493, 1
0, 4836, 1
0, 988, 1
0, 4557, 1
0, 6206, 11
0, 1154, 1
0, 3527, 2
0, 2769, 1
0, 6235, 1
0, 850, 1
0, 6919, 1
0, 5803, 1
0, 1525, 2
0, 7248, 2
0, 1366, 2
0, 1269, 2
0, 3849, 1
0, 1642, 1
0, 2675, 2
0, 5176, 2
0, 6899, 6
0, 2724, 1
0, 208, 1
0, 6806, 2
0, 6729, 3
0, 6182, 2
0, 7046, 2
0, 2548, 3
0, 773, 4
0, 5065, 2
0, 1649, 2
0, 5623, 4
0, 3792, 25
0, 6275, 4
0, 6122, 2
0, 3149, 1
0, 7201, 2
0, 386, 1
0, 6363, 1
0, 4581, 2
0, 6018, 3
0, 5987, 1
0, 4793, 2
0, 2145, 1
0, 670, 1
0, 1769, 1
0, 2008, 1
0, 5440, 1
0, 1658, 1
0, 7063, 1
0, 7104, 1
0, 4211, 2
0, 7322, 1
0, 6220, 1
0, 7362, 3
0, 6844, 1
0, 6796, 1
0, 3717, 1
0, 1946, 1
0, 5262, 18
0, 4505, 2
0, 4098, 1
0, 1399, 3
0, 6222, 6
0, 4752, 1
0, 7188, 2
0, 549, 2
0, 436, 1
0, 4678, 1
0, 3942, 1
0, 2282, 4
0, 3288, 1
0, 5214, 1
0, 6319, 1
0, 4615, 5
0, 7336, 1
0, 1047, 2
0, 4086, 1
0, 6972, 1
0, 499, 1
0, 1323, 3
0, 6673, 1
0, 5127, 2
0, 4755, 1
0, 799, 1
0, 3300, 1
0, 6378, 1
0, 5109, 1
0, 5899, 1
0, 2398, 2
0, 5006, 2
0, 2743, 3
0, 5797, 1
0, 416, 2
0, 327, 2
0, 3091, 8
0, 6408, 3
0, 7316, 3
0, 1936, 3
0, 7004, 2
0, 2304, 3
0, 5049, 1
0, 2474, 2
0, 4, 1
0, 220, 1
0, 1221, 1
0, 1661, 1
0, 1947, 1
0, 7404, 1
0, 1349, 3
0, 5299, 1
0, 4306, 1
0, 1174, 1
0, 4128, 1
0, 2283, 1
0, 640, 1
0, 5934, 1
0, 4408, 1
0, 1759, 4
0, 2647, 3
0, 6474, 1
0, 5795, 1
0, 4275, 1
0, 1567, 8
0, 1150, 2
0, 4162, 1
0, 3675, 1
0, 3079, 1
0, 5615, 2
0, 6159, 3
0, 741, 1
0, 2460, 1
0, 3248, 1
0, 3548, 3
0, 6894, 1
0, 1848, 1
0, 2402, 2
0, 5441, 2
0, 5539, 1
0, 2169, 1
0, 5596, 1
0, 1972, 5
0, 4624, 1
0, 3042, 1
0, 4616, 1
0, 283, 1
0, 1414, 2
0, 2997, 3
0, 1703, 2
0, 394, 2
0, 4153, 2
0, 5516, 4
0, 3203, 29
0, 1079, 82
0, 2198, 56
0, 5913, 1
0, 3958, 1
0, 2824, 4
0, 4200, 1
0, 4893, 1
0, 2944, 1
0, 5068, 1
0, 3008, 9
0, 2312, 1
0, 5927, 1
0, 5281, 2
0, 2086, 1
0, 6281, 1
0, 6233, 4
0, 4439, 2
0, 114, 1
0, 4948, 1
0, 1022, 1
0, 3442, 1
0, 4892, 2
0, 1598, 1
0, 3182, 1
0, 2307, 2
0, 1846, 1
0, 1991, 3
0, 6786, 1
0, 776, 1
0, 1318, 1
0, 1898, 1
0, 2710, 1
0, 1547, 1
0, 2509, 1
0, 3904, 5
0, 3116, 1
0, 3544, 3
0, 2085, 2
0, 4588, 2
0, 1828, 1
0, 2234, 1
0, 2242, 1
0, 5613, 1
0, 156, 1
0, 632, 2
0, 2961, 1
0, 5808, 2
0, 3034, 2
0, 7137, 7
0, 7295, 1
0, 2982, 3
0, 5884, 1
0, 5672, 1
0, 3052, 2
0, 2813, 1
0, 6001, 19
0, 952, 1
0, 1296, 2
0, 3122, 1
0, 994, 1
0, 902, 4
0, 4857, 7
0, 5143, 5
0, 3593, 1
0, 1517, 9
0, 2251, 2
0, 2842, 1
0, 7341, 2
0, 6115, 1
0, 5920, 2
0, 1451, 1
0, 1917, 1
0, 1952, 2
